what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301565843108
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301565843124
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301565845499
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301565848749
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301565850155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301565850171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301565850249
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301565869858
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301565883858
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301565883936
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301565887624
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301565887624
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1301565892748
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301565894639
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301566169090
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301566470432
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301566478698
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301566562682
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301566562994
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301566563072
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301566766727
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301566771727
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301566846930
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301566857320
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301566859727
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301566871820
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571096293
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571098996
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571098996
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571099856
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571100262
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301571102793
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301571102793
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301571116559
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301571120449
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1301571131012
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1301571136731
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1301571138199
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301571141137
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571143559
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571146887
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571150137
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571170871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571286292
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301571293964
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301571293995
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301571293995
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301571297792
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301571298136
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1301571298214
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571310151
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571310167
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1301571343932
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1301571348714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571353651
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571372385
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1301571376948
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1301571384260
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1301571388307
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1301571389604
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1301571395745
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301571397916
